คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5,คอลัมน์6,คอลัมน์7
KilomilesWorld86,Species,Human,Aura,Sunlight,Spirit,Building
KilomilesWorld87,Species,Human,Aura,Wood,Spirit,Dinosaur
KilomilesWorld88,Species,Human,Aura,Cloud,Spirit,Building
KilomilesWorld89,Species,Elf,Aura,Light,Spirit,Bird
KilomilesWorld90,Species,Elf,Aura,Gold,Spirit,Dynasty
KilomilesWorld91,Species,Human,Aura,Wood,Spirit,Bear
KilomilesWorld92,Species,Orc,Aura,Fire,Spirit,Barbarian
KilomilesWorld93,Species,Human,Aura,Fire,Spirit,Dragon
KilomilesWorld94,Species,Human,Aura,Fire,Spirit,Assassin
KilomilesWorld95,Species,Human,Aura,Darkness,Spirit,Wizard
KilomilesWorld96,Species,Human,Aura,Water,Spirit,Assassin
KilomilesWorld97,Species,Human,Aura,Cloud,Spirit,Soldier
KilomilesWorld98,Species,Robot,Aura,Darkness,Spirit,Fighter
KilomilesWorld99,Species,Robot,Aura,Darkness,Spirit,Fighter
KilomilesWorld100,Species,God,Aura,Light,Spirit,Peaceful
KilomilesWorld101,,,,,,
KilomilesWorld102,,,,,,
KilomilesWorld103,,,,,,
